1,DEE-RE-JP-AII,2,U,,,,,,,,,,
69,KIP,KIP DIST,500,20,2817.2957,7641.4089,S,333.44,3,E,E,E,STR
70,KIP,KIP HOME,500,20,2816.8427,7641.0046,S,333.44,7,E,E,E,STR
71,KIP,KIP STR,500,20,2816.3925,7640.5979,S,333.44,11,E,E,E,STR
72,KIP,KIP ADV STR,500,20,2816.2187,7640.4419,S,333.44,2,E,E,E,STR
73,+,HALT:KMWS,500,20,2815.0037,7639.3559,S,333.44,5,E,E,E,STR
74,IB,IBS DISTANT,500,20,2814.8084,7639.1893,S,333.44,50,E,E,E,STR
75,IB,IBS SIGNAL,500,20,2814.3992,7638.7932,S,333.44,19,E,E,E,STR
76,GATE,DISTANT,500,20,2813.9288,7638.3336,S,333.44,3,E,E,E,STR
77,.,DJ OPEN,240,20,2813.741,7638.1565,S,333.44,24,E,E,E,STR
78,GATE,INN DIST,500,20,2813.4726,7637.8941,S,333.44,26,E,E,E,STR
79,+,GATE SIG:56,500,20,2813.0646,7637.5009,S,333.44,4,E,E,E,STR
80,+,L XING:56,500,20,2813.0024,7637.4367,S,333.44,9,E,E,E,STR
81,RE,RE HOME,500,20,2812.7984,7637.2446,S,333.44,7,E,E,E,STR
82,RE,RE R HOME:122,500,20,2812.5503,7637.0034,S,333.44,16,E,E,E,STR
83,RE,RE STR:56,500,20,2812.0975,7636.5644,S,333.44,11,E,E,E,STR
84,RE,RE INT STR:26,500,20,2811.8815,7636.3562,S,333.44,8,E,E,E,STR
85,RE,RE ADV STR,500,20,2811.6141,7636.3444,S,333.44,2,E,E,E,STR
86,+,L XING:60,500,20,2811.5275,7636.3461,S,333.44,9,E,E,E,STR
87,+,L XING:61,500,20,2811.2578,7636.3503,S,333.44,9,E,E,E,STR
88,AMRI,AMRI HOME,500,20,2811.4439,7636.3461,S,333.44,7,E,E,E,STR
89,AMRI,AMRI STR,500,20,2810.8619,7636.3444,S,333.44,11,E,E,E,STR
90,AMRI,AMRI ADV STR,500,20,2810.5566,7636.3185,S,333.44,2,E,E,E,STR
91,GATE,INN DIST,500,20,2810.2604,7636.2141,S,333.44,26,E,E,E,STR
92,+,GATE SIG:62,500,20,2809.738,7636.0249,S,333.44,4,E,E,E,STR
93,+,L XING:62,500,20,2809.6437,7635.9906,S,333.44,9,E,E,E,STR
94,.,DJ OPEN,240,20,2809.3946,7635.8994,S,333.44,24,E,E,E,STR
95,KNGT,INN DIST,500,20,2809.0802,7635.7874,S,333.44,26,E,E,E,STR
96,KNGT,KNGT HOME,500,20,2808.5718,7635.6052,S,333.44,7,E,E,E,STR
97,+,L XING:64,500,20,2808.4609,7635.5651,S,333.44,9,E,E,E,STR
98,KNGT,KNGT STR,500,20,2807.8361,7635.3774,S,333.44,11,E,E,E,STR
99,KNGT,KNGT ADV STR,500,20,2807.6187,7635.3139,S,333.44,2,E,E,E,STR
100,KNGT,INN DIST,500,20,2807.3959,7635.2496,S,333.44,26,E,E,E,STR
101,+,GATE SIG:65,500,20,2806.8762,7635.0995,S,333.44,4,E,E,E,STR
102,+,L XING:65,500,20,2806.7694,7635.07,S,333.44,9,E,E,E,STR
103,GATE,INN DIST,500,20,2806.4713,7634.9843,S,333.44,26,E,E,E,STR
104,+,L XING:66,500,20,2806.3914,7634.9591,S,333.44,9,E,E,E,STR
105,+,GATE SIG:67,500,20,2805.9415,7634.8339,S,333.44,4,E,E,E,STR
106,+,L XING:67,500,20,2805.8154,7634.7943,S,333.44,9,E,E,E,STR
107,BWL,BWL DIST,500,20,2805.7673,7634.7824,S,333.44,3,E,E,E,STR
108,BWL,INN DIST,500,20,2805.2273,7634.6234,S,333.44,26,E,E,E,STR
109,BWL,BWL HOME,500,20,2804.6595,7634.4616,S,333.44,7,E,E,E,STR
110,+,L XING:70,500,20,2804.056,7634.2861,S,333.44,9,E,E,E,STR
111,BWL,BWL STR,500,20,2803.9544,7634.2562,S,333.44,11,E,E,E,STR
112,BWL,BWL ADV STR,500,20,2803.7474,7634.1963,S,333.44,2,E,E,E,STR
113,IB,IBS DISTANT,500,20,2802.1531,7633.7373,S,333.44,50,E,E,E,STR
114,IB,INN DIST,500,20,2801.6307,7633.5876,S,333.44,26,E,E,E,STR
115,IB,IBS SIGNAL,500,20,2801.085,7633.4304,S,333.44,19,E,E,E,STR
116,+,HALT:MJNL,500,20,2800.9154,7633.3788,S,333.44,5,E,E,E,STR
117,+,GATE SIG,500,20,2800.5868,7633.2876,S,333.44,4,E,E,E,STR
118,+,L XING:74,500,20,2800.4794,7633.2558,S,333.44,9,E,E,E,STR
119,GATE,INN DIST,500,20,2800.0446,7633.1314,S,333.44,26,E,E,E,STR
120,+,PSR:110KMPH,500,20,2759.8197,7633.0624,S,333.44,44,E,E,E,STR
121,+,GATE SIG:76,500,20,2759.5015,7633.0324,S,333.44,4,E,E,E,STR
122,+,L XING:76,500,20,2759.3952,7633.0636,S,333.44,9,E,E,E,STR
123,AIA,AIA DIST,500,20,2759.1677,7633.1327,S,333.44,3,E,E,E,STR
124,RHS,INN DIST,500,20,2758.6111,7633.309,S,333.44,26,E,E,E,STR
125,AIA,AIA HOME,500,20,2758.0425,7633.6154,S,333.44,7,E,E,E,STR
126,AIA,AIA STR,500,20,2757.4997,7633.912,S,333.44,11,E,E,E,STR
127,+,L XING:77,500,20,2757.3835,7633.972,S,333.44,9,E,E,E,STR
128,AIA,AIA ADV STR,500,20,2757.2666,7634.0358,S,333.44,2,E,E,E,STR
129,GATE,INN DIST,500,20,2756.8982,7634.233,S,333.44,26,E,E,E,STR
130,+,L XING:78,500,20,2756.8888,7634.241,S,333.44,9,E,E,E,STR
